"Country","Year","Season","Area","Fleets","Fleet1","Catch.Cat.","Discards.Imported.Or.Raised","Catch..kg","Source","p","Catch..kgOld"
"France",2002,1,"27.7.f","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",1442.22,"FillCountry",1,1442.22
"France",2002,1,"27.7.f","OTT-CRU","OTB_CRU","Landings","Imported",1.47,"FillCountry",1,1.47
"France",2002,1,"27.7.f","OTT_DEF_100-119_0_0","OTB_DEF","Landings","Imported",57.6,"FillCountry",1,57.6
"France",2002,1,"27.7.f","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",1.36,"FillCountry",1,1.36
"France",2002,1,"27.7.g","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",300.03,"FillCountry",1,300.03
"France",2002,1,"27.7.g","OTB_CRU_0_0","OTB_CRU","Landings","Imported",38443.14,"Imported",1,38443.14
"France",2002,1,"27.7.g","OTB_DEF_0_0","OTB_DEF","Landings","Imported",18.76,"Imported",1,18.76
"France",2002,1,"27.7.g","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",2196.88,"FillCountry",1,2196.88
"France",2002,1,"27.7.g","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",400.01,"FillCountry",1,400.01
"France",2002,1,"27.7.g","OTT-CRU","OTB_CRU","Landings","Imported",7768.76,"FillCountry",1,7768.76
"France",2002,1,"27.7.g","OTT_DEF_100-119_0_0","OTB_DEF","Landings","Imported",11281.57,"FillCountry",1,11281.57
"France",2002,1,"27.7.g","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",631.66,"FillCountry",1,631.66
"France",2002,1,"27.7.h","GNS_DEF_0_0","GNS_DEF","Landings","Imported",13.39,"FillCountry",1,13.39
"France",2002,1,"27.7.h","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.7.h","GTR_CRU_0_0_0","GNS_DEF","Landings","Imported",528.89,"FillCountry",1,528.89
"France",2002,1,"27.7.h","GTR_DEF_0_0","GNS_DEF","Landings","Imported",117.78,"FillCountry",1,117.78
"France",2002,1,"27.7.h","GTR_DEF_100-119_0_0","GNS_DEF","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.7.h","GTR_DEF_120-219_0_0","GNS_DEF","Landings","Imported",2189.44,"FillCountry",1,2189.44
