EG,StockCode,StockFullName1
WGCSE,nep.27.6aoutFU,"Norway lobster (Nephrops norvegicus) in Division 6.a, outside the functional units (West of Scotland)"
WGCSE,nep.27.7outFU,"Norway lobster (Nephrops norvegicus) in Subarea 7, outside the functional units (southern Celtic Seas, southwest of Ireland)"
WGCSE,nep.fu.11,"Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 11 (West of Scotland, North Minch)"
WGCSE,nep.fu.12,"Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 12 (West of Scotland, South Minch)"
WGCSE,nep.fu.13,"Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 13 (West of Scotland, Firth of Clyde, Sound of Jura)"
WGCSE,nep.fu.14,"Norway lobster (Nephrops norvegicus) in Division 7.a, Functional Unit 14 (Irish Sea, East)"
WGCSE,nep.fu.15,"Norway lobster (Nephrops norvegicus) in Division 7.a, Functional Unit 15 (Irish Sea, West)"
WGCSE,nep.fu.16,"Norway lobster (Nephrops norvegicus) in divisions 7.b, 7.c, 7.j, and 7.k, Functional Unit 16 (west and southwest of Ireland, Porcupine Bank)"
WGCSE,nep.fu.17,"Norway lobster (Nephrops norvegicus) in Division 7.b, Functional Unit 17 (west of Ireland, Aran grounds)"
WGCSE,nep.fu.19,"Norway lobster (Nephrops norvegicus) in divisions 7.a, 7.g, and 7.j, Functional Unit 19 (Irish Sea, Celtic Sea, eastern part of southwest of Ireland)"
WGCSE,nep.fu.2021,"Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.h, functional units 20 and 21 (Celtic Sea)"
WGCSE,nep.fu.22,"Norway lobster (Nephrops norvegicus) in divisions 7.f and 7.g, Functional Unit 22 (Celtic Sea, Bristol Channel)"
WGCSE,nop.27.6a,Norway pout (Trisopterus esmarkii) in Division 6.a
WGCSE,ple.27.7a,Plaice (Pleuronectes platessa) in Division 7.a (Irish Sea)
WGCSE,ple.27.7bc,Plaice (Pleuronectes platessa) in divisions 7.b and 7.c (West of Ireland)
WGCSE,ple.27.7e,Plaice (Pleuronectes platessa) in Division 7.e (western English Channel)
WGCSE,ple.27.7fg,"Plaice (Pleuronectes platessa) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea)"
WGCSE,ple.27.7h-k,"Plaice (Pleuronectes platessa) in divisions 7.h–k (Celtic Sea South, southwest of Ireland)"
WGCSE,pol.27.67,"Pollack (Pollachius pollachius) in subareas 6 and 7 (Celtic Seas, English Channel)"
WGCSE,sol.27.7a,Sole (Solea solea) in Division 7.a (Irish Sea)
WGCSE,sol.27.7bc,Sole (Solea solea) in divisions 7.b and 7.c (West of Ireland)
WGCSE,sol.27.7e,Sole (Solea solea) in Division 7.e (western English Channel)
WGCSE,sol.27.7fg,"Sole (Solea solea) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea)"
WGCSE,sol.27.7h-k,"Sole (Solea solea) in divisions 7.h–k (Celtic Sea South, southwest of Ireland)"
WGCSE,whg.27.6a,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland)
WGCSE,whg.27.6b,Whiting (Merlangius merlangus) in Division 6.b (Rockall)
WGCSE,whg.27.7a,Whiting (Merlangius merlangus) in Division 7.a (Irish Sea)
WGCSE,whg.27.7b-ce-k,"Whiting (Merlangius merlangus) in divisions 7.b, 7.c, and 7.e–k (southern Celtic Seas, eastern English Channel)"
WGDEEP,,
WGDEEP,alf.27.nea,"Alfonsinos (Beryx spp.) in subareas 1-10, 12 and 14 (Northeast Atlantic and adjacent waters)"
WGDEEP,aru.27.123a4,"Greater silver smelt (Argentina silus) in subareas 1, 2, and 4 and in Division 3.a (Northeast Arctic, North Sea, Skagerrak, Kattegat)"
WGDEEP,aru.27.5b6a,Greater silver smelt (Argentina silus) in divisions 5.b and 6.a (Faroes grounds and west of Scotland)
WGDEEP,aru.27.6b7-1012,Greater silver smelt (Argentina silus) in subareas 7–10 and 12 and inDivision 6.b (other areas)
