Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	4	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	1108017	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.b	MIS_MIS_0_0_0	1203338	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	GTR_DEF_all_0_0_all	27848	kWd	347.88	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	371486	kWd	98693.24	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.b	GNS_DEF_all_0_0_all	146308	kWd	158.68	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_100-119_0_0_all	566399	kWd	1739.44	Landings	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	518940	kWd	610281.53	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_32-69_0_0	50652	kWd	51.64	Discards	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_<16_0_0_all	2300	kWd	7.86	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_<16_0_0_all	6667	kWd	408.80	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_100-119_0_0_all	507928	kWd	97526.79	Landings	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_100-119_0_0_all	589931	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_all_0_0_all	25228	kWd	8.46	Discards	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_<16_0_0_all	3968	kWd	878.18	Landings	R-Reported	Imported
Belgium	2	Quarter	2024	sol.27.8ab	27.8.b	TBB_DEF_70-99_0_0_all	374400	kWd	7900.00	Discards	R-Reported	Imported
Spain	2	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	152870	kWd	710.00	Landings	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.b	OTB_MCF_>=70_0_0	0	kWd	0.00	Landings	R-Reported	Imported
Spain	1	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	191745	kWd	690.70	Discards	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.b	MIS_MIS_0_0_0_HC	-9	kWd	0.00	Landings	R-Reported	Imported
Spain	4	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_>=100_0_0	95092	kWd	1.00	Landings	R-Reported	Imported
Spain	4	Quarter	2024	sol.27.8ab	27.8.b	OTB_MPD_>=70_0_0	0	kWd	0.00	Landings	R-Reported	Imported
Spain	4	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_60-79_0_0	198	kWd	4.40	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	3318558	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	OTT_CRU_>=70_0_0	15306	kWd	810.22	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	259914	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	561847	kWd	532.98	Discards	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.b	MIS_MIS_0_0_0	898821	kWd	1404.66	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	OTB_CRU_>=70_0_0	156966	kWd	0.00	BMS landing	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	936856	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
